拖一次亮度滑杆:目标 100% → 20%,拖动耗时 400ms(取值 60Hz / 过渡帧 16ms)
  t(ms)   目标%   旧实现屏幕%   新实现屏幕%   旧落后   新落后
       0   100.0         100.0         100.0      0.0      0.0
     100    80.0         100.0          89.1    -20.0     -9.1
     200    60.0         100.0          69.9    -40.0     -9.9
     300    40.0         100.0          50.0    -60.0    -10.0
     400    20.0         100.0          27.8    -80.0     -7.8
     500    20.0         100.0          20.7    -80.0     -0.7
     600    20.0         100.0          20.1    -80.0     -0.1
     700    20.0         100.0          20.0    -80.0     -0.0
     800    20.0          97.3          20.0    -77.3     -0.0
     900    20.0          89.9          20.0    -69.9     -0.0
    1000    20.0          79.3          20.0    -59.3     -0.0
    1100    20.0          66.6          20.0    -46.6     -0.0
    1200    20.0          53.4          20.0    -33.4     -0.0
    1300    20.0          40.7          20.0    -20.7     -0.0
    1400    20.0          30.1          20.0    -10.1     -0.0
    1500    20.0          22.7          20.0     -2.7     -0.0

  旧:拖动全程画面纹丝不动(最大落后 80 个百分点),松手 300ms 后才开始动,约 1600ms 才到位
  新:拖动中最大落后 11.5 个百分点(≈ τ×目标速度),松手后 ~120ms 内收敛到目标
